#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <prior id="lambdaPrior.cyanolyca" name="distribution">
#            <parameter id="lambda" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.01</parameter>
#            <OneOnX id="OneOnX.2" name="distr"/>
#        </prior>
#        <distribution id="snapprior.cyanolyca" lambda="@lambda" spec="snap.likelihood.SnAPPrior">
#            <parameter estimate="false" id="alpha" lower="0.0" name="alpha" spec="beast.base.inference.parameter.RealParameter">11.75</parameter>
#            <parameter estimate="false" id="beta" lower="0.0" name="beta" spec="beast.base.inference.parameter.RealParameter">109.73</parameter>
#            <parameter estimate="false" id="kappa" lower="0.0" name="kappa" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate" spec="beast.base.inference.parameter.RealParameter">10.0</parameter>
#            <tree clusterType="upgma" id="Tree.cyanolyca" nodetype="snap.NodeData" spec="beast.base.evolution.tree.ClusterTree">
#                <taxa dataType="integerdata" id="snap.cyanolyca" spec="snap.Data">
#                    <taxonset id="cuc_cuc" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_cuc_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cuc_gua" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_gua_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="lyc_pul" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_pul_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cuc_hon" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_hon_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                    <taxonset id="cuc_mit" spec="beast.base.evolution.alignment.TaxonSet">
#                        <taxon id="lyc_cuc_mit_sorted" spec="beast.base.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </taxa>
#                <parameter id="RealParameter.0" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter" upper="0.0">1.0</parameter>
#            </tree>
#        </distribution>
#        <prior id="uPrior.cyanolyca" name="distribution">
#            <parameter id="u" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.4" name="distr"/>
#        </prior>
#        <prior id="vPrior.cyanolyca" name="distribution">
#            <parameter id="v" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <OneOnX id="OneOnX.5" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution">
#        <distribution data="@snap.cyanolyca" id="treeLikelihood.cyanolyca" non-polymorphic="false" pattern="coalescenceRate" spec="snap.likelihood.SnAPTreeLikelihood" tree="@Tree.cyanolyca">
#            <siteModel id="MutationSiteModel.cyanolyca" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="shape" name="shape" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#                <parameter estimate="false" id="proportionInvariant" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter">0.0</parameter>
#                <substModel coalescenceRate="@coalescenceRate" id="MutationModel" mutationRateU="@u" mutationRateV="@v" spec="snap.likelihood.SnapSubstitutionModel"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	u	v	theta0	theta1	theta2	theta3	theta4	theta5	theta6	theta7	theta8	TreeHeightLogger
28000	-6684.198757714706	-6227.439931697922	-456.7588260167843	18.60281800042973	0.5138100046077945	0.12495379564184557	0.11113639417354107	0.05675919278062015	0.08199528142246554	0.08907938726734184	0.0854707616267575	0.15517082112068775	0.014821975724013878	0.1211625420102304	0.042070254099076436
29000	-6690.423954964921	-6226.728708426779	-463.6952465381417	18.60281800042973	0.5138100046077945	0.14382602904833688	0.1342166540765672	0.06988054320734884	0.08982258005053866	0.1307968751000991	0.13670837928435323	0.154029495774331	0.01000762553352992	0.06027701947127307	0.04893470772281844
30000	-6679.7809985249905	-6225.573731616803	-454.2072669081875	17.965307646442643	0.5143140908285644	0.09191790939838833	0.11289021520281944	0.08088401192826972	0.10106176957595162	0.12512443513588464	0.11676430235485709	0.14276243634561736	0.014301546618473396	0.11558390774172313	0.0461933847534816
31000	-6678.6615274526885	-6226.367595798487	-452.29393165420146	17.965307646442643	0.5143140908285644	0.11655839381378263	0.11979324623828515	0.07568271643510378	0.07867883869638936	0.11405344009354355	0.108094265088986	0.13504942471185127	0.019819623766001174	0.07415234457632569	0.049293773376594456
32000	-6685.284439646292	-6228.5406888430025	-456.7437508032901	17.965307646442643	0.5143140908285644	0.10970398019631149	0.13194357689757122	0.06783851773841366	0.06362338322425139	0.060224668480993664	0.08849052102640675	0.11384416944308466	0.0173509510903818	0.1045468854558962	0.046897382262363445
33000	-6682.340988529601	-6227.778328437351	-454.5626600922507	17.5137638073459	0.5146939855772571	0.1218716030567749	0.1457861578333731	0.06919350640235507	0.07887455190634808	0.07399900218527422	0.12013023808243654	0.14383682813881246	0.017963850919840225	0.09176142092187452	0.04701345383911561
34000	-6686.347299949137	-6231.839710237979	-454.5075897111581	17.884182593718084	0.514380888986425	0.14866979501849512	0.17891654667957452	0.07615867216953137	0.08547487846141515	0.1077012311859942	0.0885798595852805	0.1987718656210137	0.023429517220186755	0.07538318050706895	0.051806118719235295
35000	-6683.0581727325625	-6227.856521123575	-455.2016516089877	17.884182593718084	0.514380888986425	0.1303001259318187	0.14904923056624164	0.06975614727365799	0.0755656674907238	0.10561332428449187	0.08957082048062373	0.13987807126229734	0.01657779863500035	0.0795190640174499	0.04515701484244814
36000	-6680.079141538297	-6222.556724392298	-457.5224171459992	18.08234886444598	0.5142188055718503	0.09734172072472318	0.1187854250020249	0.0672332815939035	0.09717216549996882	0.15635552735379196	0.10704775458481304	0.16589465822806362	0.012583801110622168	0.1133975730405087	0.045034685144364844
37000	-6679.545857719848	-6222.8310769727195	-456.714780747128	18.58072848255928	0.5138268765133635	0.09881101538640481	0.09950831055989053	0.07225103389758183	0.08492975682865506	0.09774344420827742	0.11411820369110173	0.13637756435199463	0.013926267085645172	0.08722829305272954	0.04389728054591045
38000	-6683.5169478630405	-6232.511322783586	-451.00562507945455	16.349092713287877	0.5157737735858154	0.08528477571370985	0.1301376977249524	0.0720139453706115	0.08743752435410157	0.10592227506598147	0.12452830967947627	0.14696201594228492	0.02350918701249076	0.08892641530309638	0.049687306524239666
39000	-6684.353063856281	-6230.763188758045	-453.5898750982364	16.097651466217265	0.5160280540016856	0.09965663075615505	0.08442418519027614	0.09139942775940106	0.13669357817152103	0.07504205503119367	0.1501579517639432	0.13816192161925106	0.01772146526684805	0.11735324577836913	0.05463511042142963
40000	-6679.625074734894	-6223.322832507427	-456.30224222746705	17.314833296657614	0.514867825067864	0.12481435328882158	0.11324734878500686	0.07419981535896514	0.10469071416892356	0.11165021524858985	0.11626149730786463	0.15059805959564312	0.012549418266837782	0.13718645392112414	0.042249934967030355
41000	-6682.258061084519	-6223.947090735439	-458.3109703490803	18.002271436758654	0.5142838602922672	0.14158268193178056	0.09789754369126148	0.0707930608650666	0.10491966899759546	0.13430193847854469	0.0986440445536152	0.14388662174605069	0.011860683932363437	0.07837155357099086	0.04770417088351657
42000	-6680.914083725376	-6222.985827959101	-457.9282557662754	18.002271436758654	0.5142838602922672	0.10171750577014421	0.09851811965065196	0.06370803928503485	0.06772762398758911	0.08860341322586524	0.09964118984836001	0.1528748762117161	0.014486248338770123	0.08156386931011878	0.045876828344343465
43000	-6686.22433356454	-6220.792503925944	-465.4318296385957	16.916515141541776	0.5152285669549549	0.10718263999367401	0.07304329430668309	0.0781238050912407	0.09456224296256904	0.07372187996520081	0.12199719145056727	0.13561176049192444	0.006585659387320339	0.12921700221827873	0.04271884384119645
44000	-6686.277871357576	-6230.095127582395	-456.1827437751807	18.26895415360836	0.5140694830904965	0.10912182860868148	0.15990771996677555	0.08049342648731929	0.07777903317318512	0.1178257198002315	0.09713645587308983	0.13104409394985	0.014064801474899902	0.08047640991452491	0.04281124795843031
45000	-6681.363334991724	-6224.252452103119	-457.1108828886049	18.162797915022555	0.5141540429326528	0.10205135125048342	0.12999645728119363	0.06845311418139946	0.06750194053997187	0.06314586840856061	0.10290082223736123	0.15212821705014493	0.016226135548985547	0.1320093463582233	0.043058986887176284
46000	-6681.963491372786	-6219.090827312477	-462.8726640603094	19.266014007600948	0.5133219553123397	0.11337901057818552	0.1016303660647397	0.06636451354673636	0.09150366252626768	0.0791855738961794	0.10445696432592529	0.10959874910348737	0.007685314433038194	0.10628584831161626	0.036684613956328015
47000	-6681.265506406051	-6224.13664653625	-457.1288598698007	19.266014007600948	0.5133219553123397	0.09876980790310091	0.0719726798161991	0.0693829201101085	0.09287084438454801	0.11108110137784485	0.0986220917735263	0.1622577397333035	0.013993970481292122	0.08941268221766584	0.040306289455021876
48000	-6683.22297110159	-6227.2761569551785	-455.9468141464108	18.685624824365394	0.5137471218291629	0.09000579065786025	0.14507025149381222	0.07955803655013836	0.07704190947454752	0.09166965674856759	0.13824256618185282	0.14120499686913282	0.0152757562341251	0.0934927716340055	0.04744258100402173
49000	-6682.425610558022	-6230.682955626111	-451.74265493191064	17.5580462659984	0.5146558401883528	0.097697845434707	0.1653639689588814	0.07304408543596634	0.07393584653596143	0.13976518584050235	0.11240180855103717	0.13579276642741334	0.021383558046341285	0.10672249862333412	0.041958632316395544
50000	-6683.623410224065	-6227.292028800757	-456.33138142330745	17.5580462659984	0.5146558401883528	0.11502183643519373	0.09069918714095182	0.07705115075375192	0.07885324868736834	0.09521523217482969	0.0896340283865027	0.1808228614002266	0.02077050041899264	0.06535632801602519	0.05403132927615357
51000	-6682.153857203222	-6229.649157348404	-452.50469985481885	17.39257454685809	0.5147994019091955	0.13540816190227195	0.15303684050948088	0.07575851863364483	0.0676399865873547	0.11601464933437138	0.1132548933187721	0.12799051833022518	0.020751590501414955	0.08548966928143036	0.04930686659052312
52000	-6685.325187048309	-6227.3358648990015	-457.9893221493079	20.883695652951495	0.5122647043135086	0.09725193085487555	0.12859994722866996	0.05789556719901448	0.1165872301110859	0.12425395682089578	0.11809163328129846	0.11786205445100867	0.012051273549097824	0.1349557049295459	0.03654852924656017
53000	-6684.661992970305	-6218.607223800418	-466.05476916988636	18.86697934697024	0.5136113835202434	0.11260660827222323	0.14119197025403385	0.0742469355415048	0.08324189525368496	0.11013402589651171	0.10374823473968113	0.1762873939249158	0.006031302828910529	0.09538735878027406	0.04112423302340881
54000	-6684.260961507973	-6222.139706347783	-462.1212551601891	18.86697934697024	0.5136113835202434	0.08533353627305344	0.06897146685082206	0.06805951066729943	0.07871658659305496	0.13743935278925468	0.10329785160988218	0.12942723217742155	0.010572471124689826	0.08157778791728863	0.04004840422278455
55000	-6682.815663128624	-6225.782352715434	-457.0333104131894	15.976095293809768	0.5161539455045872	0.11849585496040635	0.11907375361189182	0.0689480480567095	0.09626749052071489	0.17144813237115103	0.10718661275206097	0.13380764838977915	0.01397144406912101	0.08224092969714132	0.05144161619319775
56000	-6683.238338616635	-6229.43667995521	-453.80165866142477	15.937668996037576	0.5161941547045845	0.1312419041075819	0.12034896610710852	0.07514928569073244	0.09337876428942364	0.09150783907368801	0.15218368945016572	0.10994671566610648	0.019402944059328416	0.06776706864192153	0.06164330379834698
57000	-6688.578349605913	-6236.0943024690605	-452.4840471368527	13.639582460451246	0.5190264797798921	0.13457185827444051	0.14510087710154415	0.09363972416480136	0.07270190751216112	0.0928458215551532	0.09501920302877034	0.18959909862475544	0.03674854300850851	0.04812256958451389	0.08475192823052806
58000	-6683.9088672858425	-6223.653579442909	-460.25528784293346	15.853430670335166	0.5162830057573408	0.12897115336295228	0.12299127361130109	0.08581008057195598	0.07306609688137912	0.11416293052970514	0.0830564768641908	0.20996771584605298	0.01638268809502182	0.05930323821477967	0.06876113922322684
59000	-6686.121732731475	-6230.941381252518	-455.1803514789575	15.853430670335166	0.5162830057573408	0.13436772206564285	0.10034419326806111	0.08100876479472788	0.1057569102660874	0.08661183149792842	0.11740470721611	0.14720975198405287	0.018696398712777965	0.061177825641057657	0.07314426556952533
